source	distance
0	1126204000
1	0
2	119314832
3	0
4	0
5	0
6	0
7	0
8	15
9	13
10	12
11	11
12	10
13	9
14	10
15	11
16	11
17	10
18	11
19	12
20	13
21	14
22	14
23	13
24	14
25	14
26	15
27	14
28	15
29	13
30	14
31	15
32	16
33	16
34	17
35	62
36	63
37	64
38	65
39	66
40	67
41	68
42	69
43	69
44	68
45	67
46	66
47	65
48	64
49	63
50	63
52	109
53	108
54	109
55	24
56	25
57	23
58	22
59	22
60	23
61	23
62	21
63	20
64	21
65	22
66	23
67	24
68	24
69	25
70	25
71	26
72	27
73	28
74	27
75	28
76	26
77	9
78	16
79	15
80	15
81	14
82	13
83	14
84	13
85	14
86	11
87	12
88	11
89	10
90	11
91	9
92	8
93	7
94	8
95	10
96	11
97	12
98	4
99	106
